"name","type","address","url","rooms","seats","beds","capacity","self_park_rate","valet_rate","occupancy","turnover","valet_conv","op_days","peak_mod","valet_operator","garage_operator","management","ownership_group","gm","email","phone","location_notes","sourcing_notes"
"Homewood Suites by Hilton Cincinnati-Downtown","Hotel","617 Vine St Suite B, Cincinnati, OH 45202","https://www.hilton.com/en/hotels/cvgvshw-homewood-suites-cincinnati-downtown/","105","","","","","30","0.55","","0.3","365","1.0","","","Hilton Hotels Corp","Hilton Hotels Corp","","","855-605-0320","downtown CBD; same building as Hampton Inn; near Aronoff Center; extended stay","Tripadvisor 105 rooms confirmed; Hilton brand; valet_rate default select-service"
"Courtyard by Marriott Cincinnati Downtown","Hotel","6 E 4th St, Cincinnati, OH 45202","https://www.marriott.com/en-us/hotels/cvgct-courtyard-cincinnati-downtown/overview/","126","","","","","52","0.62","","0.4","365","1.0","","sp_plus","Marriott International","Marriott International","","","513-230-4050","downtown CBD near Fountain Square; valet $52 confirmed on Marriott site","Marriott.com valet $52 confirmed; Tripadvisor 126 rooms confirmed; sp_plus standard downtown"
"Residence Inn by Marriott Cincinnati Downtown/The Phelps","Hotel","506 E 4th St, Cincinnati, OH 45202","https://www.marriott.com/en-us/hotels/cvgcd-residence-inn-cincinnati-downtown-the-phelps/overview/","134","","","","","38","0.62","","0.3","365","1.0","","","Marriott International","Marriott International","","","513-651-1234","downtown CBD; historic Phelps Building; rooftop restaurant; extended stay all-suite","Tripadvisor 134 rooms confirmed; Marriott.com address; valet_rate default select-service"
"TownePlace Suites by Marriott Cincinnati Downtown","Hotel","106 W 7th St, Cincinnati, OH 45202","https://www.marriott.com/en-us/hotels/cvgtw-towneplace-suites-cincinnati-downtown/overview/","110","","","","","32","0.55","","0.3","365","1.0","","","Marriott International","Marriott International","","","513-562-8400","downtown CBD near Duke Energy Convention Center; extended stay","Tripadvisor 110 rooms confirmed; Marriott.com address; valet_rate default"
"Moxy Cincinnati Downtown","Hotel","312 Main St, Cincinnati, OH 45202","https://www.marriott.com/en-us/hotels/cvgdx-moxy-cincinnati-downtown/overview/","165","","","","","30","0.62","","0.35","365","1.05","","","Marriott International","Marriott International","","","513-837-2040","downtown The Banks-adjacent; lifestyle Moxy brand; near Great American Ball Park; peak_mod 1.05","Room count 165 estimated (Moxy downtown standard scale); Marriott.com confirmed address; valet_rate default"
"voco The Clair Cincinnati Downtown (IHG)","Hotel","701 Broadway St, Cincinnati, OH 45202","https://www.ihg.com/voco/hotels/us/en/cincinnati/cvghs/hoteldetail","117","","","","","35","0.6","","0.35","365","1.0","","","IHG Hotels & Resorts","IHG Hotels & Resorts","","","513-381-5025","downtown CBD; boutique voco IHG brand; indoor pool; 117 rooms confirmed","Tripadvisor/Expedia 117 rooms confirmed; IHG.com address and phone confirmed; valet_rate default"
"Hotel Celare Cincinnati Midtown (Tribute Portfolio)","Hotel","310 Straight St, Cincinnati, OH 45219","https://www.hotelcelare.com","171","","","","","35","0.58","","0.35","365","1.0","","","Marriott International","Marriott International","","","513-930-6580","Uptown/Midtown near UC; USA Today Best New Hotel 2026 #4; rooftop bar; UC+hospital corridor","Tripadvisor 171 rooms confirmed; Marriott.com confirmed; address hotelcelare.com; valet_rate default"
"Courtyard by Marriott Cincinnati Covington","Hotel","500 W 3rd St, Covington, KY 41011","https://www.marriott.com/en-us/hotels/cvgcm-courtyard-covington-cincinnati/overview/","152","","","","","28","0.55","","0.3","365","1.0","","","Marriott International","Marriott International","","","859-491-1200","Covington KY riverfront; near Newport on the Levee; 0.8 mi from Banks","Tripadvisor 152 rooms confirmed; Marriott brand; valet_rate default"
"Hotel Covington","Hotel","638 Madison Ave, Covington, KY 41011","https://www.hotelcovington.com","114","","","","","30","0.65","","0.4","365","1.0","","","Covington Hotels LLC","Covington Hotels LLC","","","859-905-6600","Covington KY; boutique lifestyle; highly rated 4.7 TripAdvisor; walkable to Roebling Bridge","Tripadvisor 114 rooms confirmed; independent boutique brand; valet_rate default"
"Aloft Newport on the Levee","Hotel","201 E 3rd St, Newport, KY 41071","https://www.marriott.com/en-us/hotels/cvgnl-aloft-newport-on-the-levee/overview/","136","","","","","28","0.58","","0.3","365","1.0","","","Marriott International","Marriott International","","","859-655-3393","Newport KY; Newport on the Levee entertainment district; near Purple People Bridge","Tripadvisor 136 rooms confirmed; Marriott Aloft brand; valet_rate default"
"Hampton Inn & Suites Newport/Cincinnati","Hotel","275 Columbia St, Newport, KY 41071","https://www.hilton.com/en/hotels/cvgpohx-hampton-suites-newport-cincinnati/","122","","","","","28","0.55","","0.3","365","1.0","","","Hilton Hotels Corp","Hilton Hotels Corp","","","855-605-0317","Newport KY; near Newport on the Levee; close to Purple People Bridge; indoor saltwater pool","Tripadvisor 122 rooms confirmed; Hilton.com address; valet_rate default"
"Holiday Inn Express & Suites Cincinnati Riverfront (IHG)","Hotel","200 Crescent Ave, Covington, KY 41011","https://www.ihg.com/holidayinnexpress/hotels/us/en/covington/cvgke/hoteldetail","127","","","","","28","0.55","","0.3","365","1.0","","","IHG Hotels & Resorts","IHG Hotels & Resorts","","","859-581-7800","Covington KY riverfront; near Purple People Bridge; select-service; free breakfast; river views","Tripadvisor 127 rooms confirmed; IHG.com address and phone confirmed; valet_rate default"
"Symphony Hotel & Restaurant","Hotel","210 W 14th St, Cincinnati, OH 45202","https://www.symphonyhotel.com","9","","","","","","0.7","","0.4","365","1.0","","","Independent","Independent","","","513-721-3353","OTR near Music Hall; 9-room boutique music-themed; restaurant Vivaldis; very small","Yelp address confirmed; symphonyhotel.com confirms 9 themed rooms; independent boutique; valet n/a"
"Great American Ball Park","Venue","100 Joe Nuxhall Way, Cincinnati, OH 45202","https://www.mlb.com/reds/ballpark","","","","45814","25","","","","","81","1.2","","sp_plus","Cincinnati Reds Baseball Club","Cincinnati Reds (MLB)","","","513-765-7000","The Banks downtown; MLB ballpark anchor; 81 home games + concerts","MLB.com 45814 capacity confirmed; op_days 81 home games + postseason + concerts; sp_plus active Cincinnati; peak_mod 1.20"
"Paycor Stadium","Venue","1 Paycor Stadium, Cincinnati, OH 45202","https://www.bengals.com/paycor-stadium","","","","65515","35","","","","","10","1.3","","sp_plus","Cincinnati Bengals Inc.","Cincinnati Bengals (NFL)","","","513-621-3550","The Banks downtown; NFL stadium; 65515 capacity; op_days = 10 home games + concerts","Wikipedia 65515 capacity; SeatGeek address confirmed; op_days = 10 NFL + events; sp_plus major Cincinnati; peak_mod 1.30"
"Heritage Bank Center","Venue","100 Broadway St, Cincinnati, OH 45202","https://heritagebankcenter.com","","","","17556","20","","","","","100","1.15","","sp_plus","ASM Global","ASM Global","","","513-381-0500","downtown waterfront adjacent to Great American Ball Park; ECHL Cyclones home; 100+ events/yr","Wikipedia 17556 confirmed; heritagebankcenter.com 100+ events; ASM Global manages; sp_plus likely operator; op_days 100"
"Duke Energy Convention Center","Venue","525 Elm St, Cincinnati, OH 45202","https://www.dukenergyconventioncenter.com","","","","75000","20","","","","","200","1.1","","sp_plus","ASM Global","City of Cincinnati / ASM Global","","","513-419-7300","downtown CBD; largest convention facility; reopened Jan 2026 after $264M renovation","Cincinnati.com Jan 2026 reopening confirmed; ASM Global managed; op_days ~200 events; sp_plus Cincinnati; capacity = exhibit hall sq ft proxy"
"Andrew J. Brady Music Center","Venue","25 Race St, Cincinnati, OH 45202","https://www.andrewjbradymusiccenter.com","","","","4500","20","","","","","100","1.15","","sp_plus","Music and Event Management Inc. (MEMI)","MEMI","","","513-977-8800","The Banks downtown; indoor 4500 + outdoor 8000; opened 2021; MEMI nonprofit CSO arm","Archello capacity 4400 indoor + 8000 outdoor confirmed; Wikipedia MEMI management; op_days ~100 events; sp_plus downtown"
"Aronoff Center for the Arts","Venue","650 Walnut St, Cincinnati, OH 45202","https://www.cincinnatiarts.org/aronoff-center-home","","","","2719","20","","","","","200","1.1","","sp_plus","Cincinnati Arts Association","Cincinnati Arts Association","","","513-621-2787","downtown CBD; P&G Hall 2719 seats + Jarson-Kaplan 437 + Fifth Third 150; Broadway touring","Wikipedia P&G Hall 2719 confirmed; address eventective.com confirmed; Cincinnati Arts Association; sp_plus downtown; op_days ~200"
"Music Hall","Venue","1241 Elm St, Cincinnati, OH 45202","https://www.cincinnatiarts.org/music-hall-home","","","","3516","20","","","","","200","1.1","","","Cincinnati Arts Association","Cincinnati Arts Association","","","513-381-3300","OTR Washington Park; National Historic Landmark; Springer Auditorium 3516 seats; CSO/Opera/Ballet home","Wikipedia Springer 3516 confirmed; 1241 Elm St confirmed; Cincinnati Arts Association; op_days ~200 events"
"Taft Theatre","Venue","317 E 5th St, Cincinnati, OH 45202","https://tafttheatre.org","","","","2261","15","","","","","150","1.1","","","Cincinnati Landmark Productions","Cincinnati Landmark Productions","","","513-232-6220","downtown CBD in Masonic Temple Building; 2261 seats post-renovation; concerts and Broadway","Wikipedia 2261 seats; tafttheatre.org confirmed; Cincinnati Landmark Productions; op_days ~150 events"
"Memorial Hall OTR","Venue","1225 Elm St, Cincinnati, OH 45202","https://www.memorialhallotr.com","","","","556","15","","","","","150","1.1","","","Hamilton County","Hamilton County / Memorial Building Corp","","","513-977-8838","OTR adjacent Music Hall; Anderson Theater 556 seats; two ballrooms; historic landmark","memorialhallotr.com 556-seat Anderson Theater + ballrooms confirmed; address confirmed; Hamilton County owned; op_days ~150"
"Cincinnati Playhouse in the Park","Venue","962 Mt Adams Cir, Cincinnati, OH 45202","https://www.cincinnatiplayhouse.com","","","","537","15","","","","","200","1.0","","","Cincinnati Playhouse in the Park","Cincinnati Playhouse in the Park Inc.","","","513-421-3888","Mount Adams; Marx Theatre 537 seats post-expansion + Thompson; regional Tony Award winner; 200000+ visitors/yr","Heapy.com 537 total seats post-expansion; Yelp address confirmed; op_days ~200 productions"
"Hard Rock Casino Cincinnati","Venue","1000 Broadway St, Cincinnati, OH 45202","https://casino.hardrock.com/cincinnati","","","","2500","0","0","","","0.55","365","1.15","","","Hard Rock International","Hard Rock International","","","513-250-3000","downtown CBD; full casino 365 days; valet comp standard; Council Oak steakhouse on-site","Address confirmed Yelp/OpenTable; Hard Rock brand; casino valet_conv 0.55 per brief default; capacity est 2500 gaming floor"
"Newport on the Levee","Venue","One Levee Way, Newport, KY 41071","https://www.newportonthelevee.com","","","","5000","10","","","","","365","1.1","","","Columbia Sussex Corp","Columbia Sussex Corp","","","859-291-0550","Newport KY entertainment center; multi-level dining/retail/entertainment; AMC cinema; across from downtown","Yelp/visitcincy.com confirmed; multi-use entertainment complex; op_days 365; peak_mod 1.10 events/weekends; capacity est for complex"
"The Transept","Venue","1205 Elm St, Cincinnati, OH 45202","https://www.thetransept.com","","","","700","15","","","","","150","1.1","","","Thunderdome Restaurant Group","Thunderdome Restaurant Group","","","513-813-0790","OTR adjacent to Music Hall; converted historic church; weddings + corporate + concerts","visitcincy.com address confirmed; converted church event venue; capacity est 700; op_days ~150; peak_mod 1.10"
"Riverbend Music Center","Venue","6295 Kellogg Ave, Cincinnati, OH 45230","https://riverbend.org","","","","20500","20","","","","","80","1.25","","sp_plus","MEMI","Music and Event Management Inc. (MEMI)","","","513-232-6220","east Cincinnati riverfront; 20500 outdoor amphitheater + 4100 PNC Pavilion; summer season only","Ticketmaster Blog capacity 20500 total; op_days ~80 summer season; sp_plus likely; peak_mod 1.25 major concerts"
"Cincinnati Museum Center at Union Terminal","Venue","1301 Western Ave, Cincinnati, OH 45203","https://www.cincymuseum.org","","","","3000","10","","","","","200","1.0","","","Cincinnati Museum Center","Hamilton County","","","513-287-7000","Union Terminal historic building; popular event/wedding space; West End near downtown; large event capacity","Visitcincy confirmed; large historic event venue; op_days ~200 events; address confirmed"
"Bell Event Centre","Venue","444 Reading Rd, Cincinnati, OH 45202","https://belleventcentre.com","","","","500","10","","","","","100","1.1","","","Independent","Independent","","","513-241-5800","downtown near Over-the-Rhine; historic venue; weddings + corporate galas; large ballroom","visitcincy.com Bell Event Centre address confirmed; event capacity est 500; op_days ~100 events; peak_mod 1.10"
"UC Medical Center","Hospital","3188 Bellevue Ave, Cincinnati, OH 45219","https://www.uchealth.com/en/locations/uc-medical-center","","","610","","","5","","","","365","1.0","","sp_plus","UC Health","UC Health","","","513-584-1000","Uptown/Clifton; Level I trauma center; only academic medical center in region; 724 licensed beds","AHD 610 staffed beds confirmed; UCHealth.com 724 licensed; sp_plus active Cincinnati; address confirmed"
"The Christ Hospital","Hospital","2139 Auburn Ave, Cincinnati, OH 45219","https://www.thechristhospital.com","","","555","","","5","","","","365","1.0","","","Christ Hospital Health Network","Christ Hospital Health Network","","","513-585-2000","Mt. Auburn near downtown; AAA cardiac/orthopedic/womens health; major visitor parking demand","Christ Hospital 2139 Auburn Ave confirmed per official map; staffed beds ~555 estimated (AHD subscription req; consistent with size/scope); valet $5 default"
"TriHealth Good Samaritan Hospital","Hospital","375 Dixmyth Ave, Cincinnati, OH 45220","https://www.trihealth.com/locations/good-samaritan-hospital","","","400","","","5","","","","365","1.0","","","TriHealth","TriHealth","","","513-862-1400","Price Hill/CUF area; 400 staffed beds; major patient/visitor parking campus","AHD 400 staffed beds confirmed; Yelp address confirmed; TriHealth management; valet $5 default"
"TriHealth Bethesda North Hospital","Hospital","10500 Montgomery Rd, Cincinnati, OH 45242","https://www.trihealth.com/locations/bethesda-north-hospital","","","432","","","5","","","","365","1.0","","","TriHealth","TriHealth","","","513-865-1111","northeast Cincinnati/Blue Ash suburb; 432 staffed beds; large suburban medical campus","AHD 432 staffed beds confirmed; TriHealth management; address trihealth.com confirmed"
"Cincinnati Childrens Hospital Medical Center","Hospital","3333 Burnet Ave, Cincinnati, OH 45229","https://www.cincinnatichildrens.org","","","672","","","5","","","","365","1.0","","","Cincinnati Childrens Hospital Medical Center","Cincinnati Childrens Hospital Medical Center","","","513-636-4200","Uptown/Clifton near UC Medical Center; 672 licensed beds; world-renowned pediatric; major family parking demand","Cincinnati Childrens Hospital website 672 licensed beds; address confirmed; pediatric anchor near UC health corridor"
"Boca","Restaurant","114 E 6th St, Cincinnati, OH 45202","https://www.bocacincinnati.com","","150","","","","18","","1.5","0.125","260","1.05","","","David Falk (Independent)","Independent","","","513-542-2022","downtown CBD; Contemporary European fine dining; in-house valet confirmed; Tue-Sat dinner","OpenTable valet confirmed in front of restaurant 5pm; seats 150 default; independent owner David Falk; op_days ~260 Tue-Sat dinner"
"Sotto","Restaurant","118 E 6th St, Cincinnati, OH 45202","https://www.sottocincinnati.com","","150","","","","15","","1.5","0.125","312","1.0","","","Independent","Independent","","","513-977-6886","downtown CBD; Italian fine dining; adjacent to Boca same block; lunch + dinner daily","Yelp address confirmed; sottocincinnati.com; seats 150 default; independent; op_days ~312 Mon-Sat"
"Orchids at Palm Court","Restaurant","35 W 5th St, Cincinnati, OH 45202","https://www.hilton.com/en/hotels/cvgnphf-hilton-cincinnati-netherland-plaza/dining/","","150","","","","20","","1.5","0.125","312","1.05","","","GF Hotels & Resorts","GF Hotels & Resorts","","","513-421-9100","downtown CBD; in Hilton Netherland Plaza; AAA Four Diamond hotel dining; Art Deco setting","Hilton.com dining page + Yelp confirmed inside Netherland Plaza; seats 150 default; hotel-managed dining"
"Jeff Rubys Steakhouse (Downtown)","Restaurant","505 Vine St, Cincinnati, OH 45202","https://www.jeffruby.com/cincinnati","","250","","","","20","","1.5","0.125","312","1.1","","","Jeff Ruby Culinary Entertainment","Jeff Ruby Culinary Entertainment","","","513-784-1200","downtown CBD near Fountain Square; flagship location; top-booked on OpenTable; valet adjacent","Jeff Ruby website address confirmed; OpenTable top-rated; seats 250 default fine-dining steakhouse; valet nearby; peak_mod 1.10 event proximity"
"Jeff Rubys Precinct","Restaurant","311 Delta Ave, Cincinnati, OH 45226","https://www.jeffruby.com/precinct","","250","","","","20","","1.5","0.125","312","1.0","","","Jeff Ruby Culinary Entertainment","Jeff Ruby Culinary Entertainment","","","513-321-5454","Columbia-Tusculum / east riverfront; original Jeff Ruby flagship; suburban; valet confirmed","Jeff Ruby website + Tripadvisor valet confirmed; seats 250 default; Jeff Ruby parent co."
"Jeff Rubys Carlo & Johnny","Restaurant","9769 Montgomery Rd, Cincinnati, OH 45242","https://www.jeffruby.com/carlo-johnny","","250","","","","20","","1.5","0.125","312","1.0","","","Jeff Ruby Culinary Entertainment","Jeff Ruby Culinary Entertainment","","","513-936-8600","Montgomery suburb northeast Cincinnati; upscale steakhouse; valet confirmed OpenTable","Jeff Ruby website; OpenTable valet confirmed; seats 250 default; Jeff Ruby group ownership"
"The Capital Grille","Restaurant","3821 Edwards Rd, Cincinnati, OH 45209","https://www.thecapitalgrille.com/locations/oh/cincinnati/cincinnati/8052","","250","","","","20","","1.5","0.125","312","1.0","","","Darden Restaurants","Darden Restaurants","","","513-527-2754","Hyde Park/Oakley border; Darden corporate steakhouse; top-rated OpenTable","Yelp 3821 Edwards Rd confirmed; Darden Restaurants parent; seats 250 default steakhouse"
"Eddie Merlots Cincinnati","Restaurant","10808 Montgomery Rd, Cincinnati, OH 45242","https://www.eddiemerlots.com/cincinnati/","","250","","","","20","","1.5","0.125","312","1.0","","","Eddie Merlots LLC","Eddie Merlots LLC","","","513-489-1212","Kenwood/Montgomery suburb; fine dining steakhouse; private dining rooms for 82 + 30; valet standard","Eddie Merlots website address confirmed; private room details confirmed; seats 250 default"
"Maplewood Kitchen and Bar","Restaurant","525 Race St, Cincinnati, OH 45202","https://www.maplewoodkitchenandbar.com","","200","","","","15","","1.75","0.1","312","1.0","","","Thunderdome Restaurant Group","Thunderdome Restaurant Group","","","513-929-0980","downtown CBD; upscale-casual west coast inspired; Thunderdome Group","Yelp 525 Race St confirmed; seats 200 default upscale-casual; Thunderdome Restaurant Group owner per Cincinnati.com"
"Salazar","Restaurant","1401 Republic St, Cincinnati, OH 45202","https://www.salazarcincinnati.com","","120","","","","15","","1.5","0.125","260","1.0","","","Independent (Chef Jose Salazar)","Independent","","","513-621-7000","OTR; chef-driven independent flagship; Jose Salazar; award-winning","Yelp 1401 Republic St confirmed; seats 120 default chef-driven; independent; op_days ~260 closed Mon-Tue"
"Pepp & Dolores","Restaurant","1501 Vine St, Cincinnati, OH 45202","https://www.peppanddolores.com","","150","","","","15","","1.5","0.125","312","1.05","","","Independent","Independent","","","513-419-1820","OTR Vine St; casual Italian housemade pasta; multiple dining areas including speakeasy; neighborhood anchor","OpenTable/Yelp address confirmed; seats ~150 multiple areas per OpenTable details; independent; peak_mod 1.05 OTR corridor"
"Nicolas Ristorante","Restaurant","1420 Sycamore St, Cincinnati, OH 45202","https://www.opentable.com/r/nicolas-ristorante-cincinnati","","150","","","","15","","1.5","0.125","260","1.0","","","Independent","Independent","","","513-721-6200","OTR; Italian fine dining intimate; valet noted in reviews","Yelp/OpenTable 1420 Sycamore St confirmed; seats 150 default; independent fine dining Italian; op_days ~260 closed Mon"
"Quan Hapa","Restaurant","1331 Vine St, Cincinnati, OH 45202","https://www.quanhapa.com","","100","","","","15","","1.5","0.125","260","1.0","","","Independent","Independent","","","513-421-7826","OTR Findlay Market corridor; upscale Asian street food; chef-driven","Tripadvisor 1331 Vine St confirmed; seats 100 default; independent; op_days ~260 closed Mon"
"Igby's","Restaurant","122 E 6th St, Cincinnati, OH 45202","https://www.igbysdining.com","","150","","","","15","","1.75","0.1","312","1.0","","","Independent","Independent","","","513-246-4396","downtown CBD near Boca/Sotto; upscale bar + dining; late night cocktails","Yelp/Tripadvisor 122 E 6th St confirmed; seats 150 default upscale-casual; independent"
"Prime Cincinnati","Restaurant","580 Walnut St Ste 100, Cincinnati, OH 45202","https://www.primecincinnati.com","","200","","","","18","","1.5","0.125","312","1.05","","","Independent","Independent","","","513-579-0720","downtown CBD; upscale steakhouse; valet via Star Parking confirmed on-site; top-rated OpenTable","Yelp/OpenTable address confirmed; primecincinnati.com valet Star Parking confirmed; seats 200 default; peak_mod 1.05 CBD"
"The Davidson","Restaurant","501 Vine St, Cincinnati, OH 45202","https://thedavidson.com","","200","","","","15","","1.75","0.1","312","1.05","","","Thunderdome Restaurant Group","Thunderdome Restaurant Group","","","513-263-0501","downtown CBD near Fountain Square; French-Italian-American; Thunderdome Group; opened 2024","Yelp address; Cincinnati.com Thunderdome Group; seats 200 default; peak_mod 1.05 Fountain Square adjacent"
"Council Oak Steaks & Seafood","Restaurant","1000 Broadway St, Cincinnati, OH 45202","https://casino.hardrock.com/cincinnati/dining/council-oak","","200","","","","15","","1.5","0.125","260","1.15","","","Hard Rock International","Hard Rock International","","","513-250-3294","downtown CBD; fine dining inside Hard Rock Casino; Wed-Sun; captive casino traffic; op_days ~260","OpenTable/Yelp address confirmed; Hard Rock parent; seats 200 default; casino attached = higher captive traffic; peak_mod 1.15"
"Lisse Steakhuis","Restaurant","530 Main St, Covington, KY 41011","https://www.lisse.restaurant","","300","","","","18","","1.5","0.125","312","1.0","","","Independent","Independent","","","859-360-7008","Covington MainStrasse; Dutch-inspired steakhouse 3 floors; 300 seats confirmed; private rooms","WCPO.com + lisse.restaurant 300 seats confirmed; 530 Main St Covington; independent"
"Subito (Lytle Park Hotel)","Restaurant","311 Pike St, Cincinnati, OH 45202","https://www.thelytleparkhotel.com","","150","","","","20","","1.5","0.125","312","1.05","","","Marriott International","Marriott International","","","513-621-4500","downtown Lytle Park Hotel; Northern Italian; AAA Four Diamond hotel dining","Lytle Park Hotel website; hotel restaurant; seats 150 default; Marriott managed; peak_mod 1.05 hotel F&B"
"Al-Posto Italian","Restaurant","2710 Erie Ave, Cincinnati, OH 45208","https://al-posto.com","","150","","","","15","","1.5","0.125","260","1.0","","","Independent","Independent","","","513-321-2710","Hyde Park Square; Italian wine bar + restaurant; patio dining; Hyde Park neighborhood anchor","Yelp 2710 Erie Ave confirmed; al-posto.com; seats 150 default; independent; op_days ~260 closed Mon"
"Wildweed","Restaurant","1301 Walnut St, Cincinnati, OH 45202","https://wildweed-restaurant.com","","75","","","","15","","1.5","0.125","260","1.05","","","Independent (David & Lydia Jackman)","Independent","","","513-246-1500","OTR; chefs counter 12-seat tasting + dining room; Bon Appetit + Esquire best new 2024; destination dining","Yelp 1301 Walnut St confirmed; wildweed-restaurant.com; ~75 seats combined counter + dining; op_days ~260"
"Five on Vine","Restaurant","1324 Vine St, Cincinnati, OH 45202","https://fiveonvine.com","","150","","","","15","","1.5","0.125","312","1.05","","","Independent","Independent","","","513-246-4302","OTR; upscale American; Cincinnati Magazine #1 best new restaurant 2024; Vine St corridor","Cincinnati Magazine 2024 #1 new restaurant; 1324 Vine St address confirmed; independent; seats 150 default"
