name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
Hilton Fort Wayne at the Grand Wayne Convention Center,Hotel,"1020 S Calhoun St, Fort Wayne, IN 46802",https://www.hilton.com/en/hotels/fwafhhf-hilton-fort-wayne-at-the-grand-wayne-convention-center/,246,,,, 15,n/a,0.60,,0.40,365,1.10,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(260) 420-1100,"downtown convention, attached to GWCC, skywalk access","TravelWeekly: 246 rooms; Hilton.com: self-park $15/day; defaults: occupancy 0.60, valet_conv 0.40 per convention hotel cookbook"
Courtyard by Marriott Fort Wayne Downtown at Grand Wayne Convention Center,Hotel,"1150 S Harrison St, Fort Wayne, IN 46802",https://www.marriott.com/en-us/hotels/fwadt-courtyard-fort-wayne-downtown-at-grand-wayne-convention-center/overview/,250,,,,15,n/a,0.60,,0.40,365,1.10,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 490-3629,"downtown convention, connected to GWCC via skywalk","TravelWeekly: 250 rooms; Marriott.com: on-site parking $15/day; defaults per convention hotel cookbook"
Hampton Inn & Suites Fort Wayne Downtown,Hotel,"223 W Jefferson Blvd, Fort Wayne, IN 46802",https://www.hilton.com/en/hotels/fwadthx-hampton-suites-fort-wayne-downtown/,136,,,,n/a,n/a,0.60,,0.30,365,1.10,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(260) 420-1234,"downtown, adjacent Parkview Field, Conner's Rooftop bar on property","Expedia/TripAdvisor: 136 rooms; free breakfast, valet included per bradleyhotel.com mention of valet at nearby; self-park rate unknown; defaults select-service downtown"
The Bradley Hotel,Hotel,"204 W Main St, Fort Wayne, IN 46802",https://www.bradleyhotel.com,133,,,, n/a,0,0.65,,0.45,365,1.10,,,Provenance Hotels,Vera Bradley / Provenance Hotels,,,(260) 800-8686,"downtown boutique, valet included in stay, adjacent Landing district","visitfortwayne.com + bradleyhotel.com: 124 rooms + 9 suites = 133 total; valet parking included per hotel website; lifestyle/boutique defaults"
Hyatt Place Fort Wayne – Northwest,Hotel,"111 W Washington Center Rd, Fort Wayne, IN 46825",https://www.hyatt.com/hyatt-place/en-US/fwazn-hyatt-place-fort-wayne-northwest,120,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hyatt Hotels Corp (managed)","Hyatt Portfolio",,,(260) 471-8522,"northwest Fort Wayne, near Memorial Coliseum, free parking","Travelocity: 120 rooms; TravelWeekly: 111 W Washington Center Rd; free parking, no valet; defaults select-service"
Hilton Garden Inn Fort Wayne,Hotel,"8615 US Hwy 24 W, Fort Wayne, IN 46804",https://www.hilton.com/en/hotels/fwafegi-hilton-garden-inn-fort-wayne/,84,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(260) 435-1777,"southwest corridor, near Lutheran Hospital, I-69 exit 302","TravelWeekly: 84 rooms; near Lutheran Hospital; defaults select-service"
Hilton Garden Inn Fort Wayne North,Hotel,"10650 Diebold Rd, Fort Wayne, IN 46845",https://www.hilton.com/en/hotels/fwanhgi-hilton-garden-inn-fort-wayne-north/,88,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(855) 618-4697,"north Fort Wayne, across from Parkview Regional Medical Center","TripAdvisor: 88 rooms; hilton.com confirms Parkview PRMC proximity; defaults select-service"
Homewood Suites by Hilton Fort Wayne,Hotel,"8621 US Hwy 24 W, Fort Wayne, IN 46804",https://www.hilton.com/en/hotels/fwainhw-homewood-suites-fort-wayne/,79,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,(855) 605-0316,"southwest corridor, near Lutheran Hospital, free parking","TripAdvisor: 79 rooms; extended-stay; near Lutheran corridor; defaults select-service"
Residence Inn by Marriott Fort Wayne Southwest,Hotel,"7811 W Jefferson Blvd, Fort Wayne, IN 46804",https://www.marriott.com/en-us/hotels/fwari-residence-inn-fort-wayne-southwest/overview/,96,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 432-8000,"southwest corridor, near Lutheran Hospital, free parking","Marriott.com address confirmed; TripAdvisor listing; approx. 96 rooms (industry standard for this brand/market; default)"
SpringHill Suites by Marriott Fort Wayne Southwest,Hotel,"7777 W Jefferson Blvd, Fort Wayne, IN 46804",https://www.marriott.com/en-us/hotels/fwaso-springhill-suites-fort-wayne-southwest/overview/,90,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 498-8001,"southwest corridor, near Lutheran Hospital, free parking","Marriott.com address confirmed; rooms default ~90 (new property, TripAdvisor listing); near Lutheran corridor"
Fairfield by Marriott Inn & Suites Fort Wayne Southwest,Hotel,"7737 W Jefferson Blvd, Fort Wayne, IN 46804",https://www.marriott.com/en-us/hotels/fwasw-fairfield-inn-and-suites-fort-wayne-southwest/overview/,61,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 436-1000,"southwest corridor, near Lutheran Hospital, free parking","TripAdvisor: 61 rooms; Marriott.com confirmed address; near Lutheran corridor"
TownePlace Suites by Marriott Fort Wayne North,Hotel,"3949 Ice Way Dr, Fort Wayne, IN 46805",https://www.marriott.com/en-us/hotels/fwats-towneplace-suites-fort-wayne-north/overview/,89,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,(260) 483-1160,"north Fort Wayne, near Memorial Coliseum (<2 mi), free parking","Expedia: 89 rooms; Marriott.com address; extended-stay brand; defaults select-service"
SpringHill Suites by Marriott Fort Wayne North,Hotel,"near Parkview Regional, Fort Wayne, IN 46845",https://www.marriott.com/en-us/destinations/united-states/indiana/fort-wayne.mi,95,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,,"north Fort Wayne, near Parkview Regional Medical Center","Marriott destination page confirms this property; address approximate; ~95 rooms default for brand"
Grand Wayne Convention Center,Venue,"120 W Jefferson Blvd, Fort Wayne, IN 46802",https://grandwayne.com,,,,,10,n/a,,,,150,1.15,,,City of Fort Wayne,,,,,"downtown convention anchor, 225,000 sf, attached hotels, garage parking","Wikipedia + visitfortwayne.com + grandwayne.com: 225,000 sf; max theater 4,500; banquet 3,080; parking $10; 2nd largest convention facility in Indiana; op_days = ~150 event-days est."
Dash-In,Restaurant,"814 S Calhoun St, Fort Wayne, IN 46802",https://www.thedash-in.com,,100,,,n/a,n/a,,1.5,0.125,365,1.0,,,Independent,,,,,"downtown, craft beer/cocktail bar-restaurant, 21+, upscale casual","Yelp + thedash-in.com: 814 S Calhoun St; seats default 100 per cookbook; open Wed-Sun"
Proximo,Restaurant,"898 S Harrison St, Fort Wayne, IN 46802",https://www.proximofw.com,,150,,,1,n/a,,1.75,0.10,365,1.0,,,Independent,,,,,(260) 459-6150,"downtown, Latin cuisine, attached parking garage $1/hr","proximofw.com + Yelp: 898 S Harrison St; parking $1/hr attached garage; seats default 150 upscale-casual"
Copper Spoon,Restaurant,"301 W Jefferson Blvd Ste 100, Fort Wayne, IN 46802",https://www.copperspoonfw.com,,150,,,n/a,n/a,,1.5,0.125,365,1.0,,,Independent,,,,,(260) 388-9283,"downtown Harrison Building by Parkview Field, locally sourced, large spirits selection","Yelp + neifood.org: 301 W Jefferson Blvd Ste 100, (260) 388-9283; seats default 150 chef-driven"
Marquee at the Landing,Restaurant,"123 W Columbia St, Fort Wayne, IN 46802",https://www.marqueeatthelanding.com,,150,,,n/a,n/a,,1.75,0.10,365,1.0,,,Independent,,,,,(260) 255-3717,"downtown Landing district, chef-driven scratch kitchen, upscale-casual","marqueeatthelanding.com: 123 W Columbia St, (260) 255-3717; seats default 150 upscale-casual"
Hoppy Gnome,Restaurant,"203 E Berry St, Fort Wayne, IN 46802",https://www.hoppygnome.com,,150,,,n/a,n/a,,1.75,0.10,365,1.0,,,OBICAI Restaurant Group,,,,,(260) 422-0070,"downtown, craft beer + global cuisine, upscale-casual, Beer Hall format","hoppygnome.com: 203 E Berry St, (260) 422-0070; seats default 150 upscale-casual; OBICAI same group as Baker Street"
Birdie's,Restaurant,"204 W Main St, Fort Wayne, IN 46802",https://www.bradleyhotel.com/dining/birdies/,,100,,,n/a,n/a,,1.5,0.125,365,1.0,,,Provenance Hotels,,,,,(260) 800-8686,"rooftop bar at The Bradley Hotel, 21+, city views","bradleyhotel.com/dining: 204 W Main St; part of Bradley Hotel (Provenance); seats est. 100 rooftop"
Paula's on Main,Restaurant,"1732 W Main St, Fort Wayne, IN 46808",https://www.paulasonmain.com,,100,,,n/a,n/a,,1.5,0.125,365,1.0,,,Independent,,,,,(260) 424-2300,"West Main corridor, upscale seafood/market concept, chef-driven","TripAdvisor + paulasonmain.com: 1732 W Main St, (260) 424-2300; seats default 100 chef-driven"
Ophelia's,Restaurant,"1603 N Wells St, Fort Wayne, IN 46808",https://opheliasfw.com,,60,,,n/a,n/a,,1.5,0.125,365,1.0,,,Independent,,,,,(260) 999-6980,"Wells Street corridor, brunch/dinner in historic house, intimate upscale-casual","opheliasfw.com + TripAdvisor: 1603 N Wells St, (260) 999-6980; small house-restaurant, seats est. 60"
Baker Street Steakhouse,Restaurant,"4820 N Clinton St, Fort Wayne, IN 46825",https://bakerstreetfortwayne.com,,200,,,n/a,n/a,,1.5,0.125,365,1.0,,,OBICAI Restaurant Group,,,,,(260) 484-3300,"north Clinton corridor, upscale steakhouse with private dining, free parking","bakerstreetfortwayne.com + Yelp: 4820 N Clinton St, (260) 484-3300; GM Troy Raison; seats default 200; OBICAI group"
Don Hall's Factory,Restaurant,"5811 Coldwater Rd, Fort Wayne, IN 46825",https://www.donhalls.com/the-factory,,200,,,n/a,n/a,,1.75,0.10,365,1.0,,,Don Hall's Restaurant Group,,,,,(260) 484-8693,"north Coldwater corridor, full-service casual dining, Don Hall's brand","donhalls.com/the-factory + TripAdvisor: 5811 Coldwater Rd, (260) 484-8693; seats default 200 upscale-casual"
Hall's Tavern at Coventry,Restaurant,"5745 Coventry Ln, Fort Wayne, IN 46804",https://www.donhalls.com/the-tavern,,200,,,n/a,n/a,,1.75,0.10,365,1.0,,,Don Hall's Restaurant Group,,,,,(260) 459-2893,"southwest Village at Coventry, Don Hall's upscale-casual, ribeye steaks","donhalls.com contact + Yelp: 5745 Coventry Ln, (260) 459-2893; seats default 200"
Cork 'N Cleaver Steak & Seafood,Restaurant,"221 E Washington Center Rd, Fort Wayne, IN 46825",https://www.corkncleaveronline.com,,200,,,n/a,n/a,,1.5,0.125,365,1.0,,,Independent,,,,,(260) 484-7772,"north Washington Center corridor, near Hyatt Place, established steakhouse","corkncleaveronline.com: 221 E Washington Center Rd, (260) 484-7772; near Hyatt Place FW NW; seats default 200"
Granite City Food & Brewery,Restaurant,"3809 Coldwater Rd, Fort Wayne, IN 46805",https://www.gcfb.com/location/fort-wayne-indiana/,,200,,,n/a,n/a,,1.75,0.10,365,1.0,,,Granite City Food & Brewery Inc,,,,,(260) 471-3030,"north Coldwater, upscale-casual brewery restaurant, large footprint","gcfb.com + TripAdvisor: 3809 Coldwater Rd, (260) 471-3030; seats default 200 upscale-casual"
The Oyster Bar,Restaurant,"1830 S Calhoun St, Fort Wayne, IN 46802",https://www.fwoysterbar.com,,150,,,n/a,n/a,,1.5,0.125,365,1.0,,,Independent,,,,,(260) 744-9490,"south Calhoun St, seafood-focused upscale restaurant","fwoysterbar.com + Yelp: 1830 S Calhoun St, (260) 744-9490; seats default 150 chef-driven"
Don Hall's Gas House – The Deck,Restaurant,"305 E Superior St, Fort Wayne, IN 46802",https://www.donhalls.com/the-gas-house,,100,,,n/a,n/a,,1.75,0.10,365,1.0,,,Don Hall's Restaurant Group,,,,,(260) 424-3183,"downtown, outdoor deck dining adjacent to Gas House, Don Hall's brand","donhalls.com contact: same address 305 E Superior, (260) 424-3183; separate concept listed; seats est. 100"
Wyndham Garden Fort Wayne,Hotel,"5750 Challenger Pkwy, Fort Wayne, IN 46818",https://www.wyndhamhotels.com/wyndham-garden/fort-wayne-indiana/wyndham-garden-fort-wayne/overview,150,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Wyndham Hotels & Resorts (managed)","Wyndham Portfolio",,,(260) 489-0506,"northwest corridor, full-service with restaurant, Challenger Pkwy","TripAdvisor + booking.com: 5750 Challenger Pkwy; ~150 rooms default; select-service full-service"
Ramada Plaza & Conference Center by Wyndham Fort Wayne,Hotel,"1010 Hospitality Dr N, Fort Wayne, IN 46805",https://www.wyndhamhotels.com,210,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Wyndham Hotels & Resorts (managed)","Wyndham Portfolio",,,,"north Fort Wayne, conference center hotel, near Coliseum","TripAdvisor listing; ~210 rooms est.; conference center with meeting space; near Memorial Coliseum"
Tru by Hilton Fort Wayne,Hotel,"5345 Distribution Dr, Fort Wayne, IN 46825",https://www.hilton.com,100,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Hilton Hotels & Resorts (managed)","Hilton Portfolio",,,,"north Fort Wayne, select-service, free breakfast","TripAdvisor: 5345 Distribution Dr; ~100 rooms est.; Tru brand; free parking, free breakfast"
Candlewood Suites Fort Wayne NW by IHG,Hotel,"1161 W Washington Center Rd, Fort Wayne, IN 46825",https://www.ihg.com,83,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"IHG Hotels & Resorts (managed)","IHG Portfolio",,,(260) 471-1100,"northwest Washington Center, extended stay, near Coliseum","TripAdvisor: 1161 W Washington Center Rd; ~83 rooms est. extended stay brand"
Residence Inn by Marriott Fort Wayne North,Hotel,"near Parkview PRMC campus, Fort Wayne, IN 46845",https://www.marriott.com/en-us/hotels/fwarn-residence-inn-fort-wayne-north/overview/,120,,,,n/a,n/a,0.55,,0.30,365,1.0,,,"Marriott International (managed)","Marriott Portfolio",,,,"north Fort Wayne, near Parkview PRMC campus, extended stay","Marriott.com listing confirmed; address from Marriott FWARN code; rooms ~120 default for brand"
