name,type,address,url,rooms,seats,beds,capacity,self_park_rate,valet_rate,occupancy,turnover,valet_conv,op_days,peak_mod,valet_operator,garage_operator,management,ownership_group,gm,email,phone,location_notes,sourcing_notes
Watershed Kitchen & Bar,Restaurant,"1145 Chesapeake Avenue Suite D, Columbus, OH 43212",https://www.watersheddistillery.com/kitchenandbar,,80,,,n/a,n/a,,,0.10,300,1.00,,,Independent (Watershed Distillery),Watershed Distillery,,,(614) 300-0300,near Upper Arlington / Grandview; distillery restaurant; free parking on-site,watersheddistillery.com (address); yelp.com; seats ~80 per chef-driven small restaurant; no valet; op_days 300 (Tue-Sun)
Pistacia Vera,Restaurant,"541 South 3rd Street, Columbus, OH 43215",https://www.pistaciavera.com,,60,,,n/a,n/a,,,0.10,300,1.00,,,Independent,Independent,,,(614) 220-9070,German Village; pastry / café; no valet; daytime hours only,pistaciavera.com (address); yelp.com; seats ~60 small café; open daily 7am-3pm; op_days 300
Jeff Ruby's Steakhouse Columbus,Restaurant,"89 East Nationwide Boulevard, Columbus, OH 43215",https://www.jeffruby.com/columbus,,300,,,n/a,20,,,0.125,365,1.00,,,Jeff Ruby Culinary Entertainment,Jeff Ruby Culinary Entertainment,,,(614) 686-7800,Arena District adjacent to Convention Center; upscale steakhouse with live entertainment,jeffruby.com (address confirmed); seats ~300 per large steakhouse format; valet_rate $20 default
Butcher & Rose,Restaurant,"155 East Broad Street, Columbus, OH 43215",https://butcherandrose.com,,200,,,n/a,15,,,0.125,365,1.00,,,Cameron Mitchell Restaurants,Cameron Mitchell Restaurants,,,(614) 229-3100,downtown Broad Street; Cameron Mitchell flagship steakhouse; valet $15 confirmed,butcherandrose.com (valet $15 confirmed); yelp.com (address); seats default 200 upscale steakhouse
Mastro's Steakhouse Columbus,Restaurant,"3965 New Bond Street, Columbus, OH 43219",https://www.mastrosrestaurants.com/location/mastros-steakhouse-columbus/,,250,,,n/a,20,,,0.125,365,1.00,,,Mastro's Restaurants,Mastro's Restaurants,,,(380) 234-1090,Easton Town Center; upscale steakhouse chain; near Hilton Columbus at Easton,mastrosrestaurants.com (address); eastontowncenter.com; seats default 250 upscale steakhouse
Hubbard Grille,Restaurant,"793 North High Street, Columbus, OH 43215",https://www.hubbardgrille.com,,150,,,n/a,n/a,,,0.10,365,1.00,,,Taste Hospitality Group,Taste Hospitality Group,,,(614) 291-6700,Short North Arts District; upscale-casual American; private event space on 2nd floor,hubbardgrille.com (address confirmed); seats ~150 interior (Taste Hospitality); no valet confirmed
Cento – German Village,Restaurant,"595 South 3rd Street, Columbus, OH 43215",https://centogermanvillage.com,,120,,,n/a,n/a,,,0.10,365,1.00,,,Independent,Independent,,,(614) 291-1800,German Village; Italian fine-casual; private dining room; patio garden,centogermanvillage.com (address); yelp.com; seats ~120 interior default; no valet confirmed
Alqueria,Restaurant,"247 King Avenue, Columbus, OH 43201",https://www.alqueriacolumbus.com,,80,,,n/a,n/a,,,0.125,300,1.00,,,Independent,Independent,,,(614) 824-5579,near OSU / Short North corridor; chef-driven farmhouse concept; street parking only,alqueriacolumbus.com (address and hours); yelp.com; seats ~80 small chef-driven; no valet; closed Sunday (op_days 300)
Service Bar,Restaurant,"1230 Courtland Avenue, Columbus, OH 43201",https://middlewestspirits.com/servicebar/,,80,,,n/a,n/a,,,0.10,300,1.00,,,Middle West Spirits,Middle West Spirits,,,(614) 947-1231,Short North / University District; cocktail-driven restaurant within Middle West Distillery,middlewestspirits.com (address); yelp.com; seats ~80; op_days ~300 (Wed-Sat primary schedule)
Mitchell's Ocean Club Easton,Restaurant,"4002 Easton Station, Columbus, OH 43219",https://www.mitchellssteakhouse.com,,250,,,n/a,20,,,0.125,365,1.00,,,Cameron Mitchell Restaurants,Cameron Mitchell Restaurants,,,(614) 416-2582,Easton Town Center; sister property to Mitchell's Steakhouse; seafood/upscale,opentable.com (confirmed Easton location); seats default 250; valet_rate $20 default
DoubleTree Suites by Hilton Columbus Downtown,Hotel,"50 South Front Street, Columbus, OH 43215",https://www.hilton.com/en/hotels/cmhdtdt-doubletree-suites-columbus-downtown/,194,,,,n/a,35,0.60,,0.40,365,1.05,,,Hilton Hotels & Resorts,NewcrestImage,,,+1 614-228-4600,downtown South Front Street; all-suite hotel near Brewery District and German Village,rebusinessonline.com (194 rooms confirmed 2024 sale); yelp.com address; valet_rate default boutique tier; NewcrestImage purchased Sep 2024
Hyatt Place Columbus OSU,Hotel,"3245 Olentangy River Road, Columbus, OH 43202",https://www.hyatt.com/hyatt-place/en-US/cmhzg-hyatt-place-columbus-osu,151,,,,n/a,n/a,0.55,,0.30,365,1.00,,,Hyatt Hotels Corporation,Hyatt,,,+1 614-267-1234,OSU corridor near Wexner Medical Center; free self-parking; select-service,hyatt.com (address and hotel-info); rooms ~151 per Hyatt Place standard; complimentary parking confirmed
KEMBA Live,Venue,"405 Neil Avenue, Columbus, OH 43215",https://promowestlive.com/our-venues/kemba-live,,,,5200,10,n/a,,,,100,1.10,,,PromoWest / AEG Presents,PromoWest Productions,,,(614) 461-5483,Arena District adjacent; indoor 2200 / outdoor 5200; 275000 guests/year,promowestlive.com (5200 outdoor / 2200 indoor confirmed); eventective.com address; op_days ~100 events/year; self_park $10 estimate
Express Live,Venue,"405 Neil Avenue, Columbus, OH 43215",https://promowestlive.com,,,,5000,10,n/a,,,,60,1.10,,,PromoWest / AEG Presents,PromoWest Productions,,,(614) 461-5483,Arena District; outdoor amphitheater; shares address with KEMBA Live; spring/summer season,eventective.com (5000 capacity); op_days ~60 summer events; self_park $10 estimate
Lincoln Theatre,Venue,"769 East Long Street, Columbus, OH 43203",https://www.capa.com/lincoln-theatre/,,,,582,n/a,n/a,,,,120,1.05,,,CAPA (Columbus Association for the Performing Arts),City of Columbus / CAPA,,,(614) 384-5640,King-Lincoln Bronzeville neighborhood east of downtown; 582-seat PAC; jazz and arts focus,wikipedia.org (582 seats); capa.com address confirmed; op_days ~120 shows/year estimate
The Guild House,Restaurant,"624 North High Street, Columbus, OH 43215",https://theguildhousecolumbus.com,,200,,,n/a,n/a,,,0.125,365,1.00,,,Cameron Mitchell Restaurants,Cameron Mitchell Restaurants,,,(614) 280-9780,Short North adjacent to Le Méridien Joseph; hotel restaurant and independent dining,opentable.com (address and hours confirmed); tripadvisor; seats default 200 upscale-casual; Cameron Mitchell operator
Marcella's Short North,Restaurant,"615 North High Street, Columbus, OH 43215",https://marcellasrestaurant.com,,150,,,n/a,n/a,,,0.10,365,1.00,,,Cameron Mitchell Restaurants,Cameron Mitchell Restaurants,,,(614) 280-9700,Short North; Italian upscale-casual; part of Cameron Mitchell portfolio,marcellasrestaurant.com (address confirmed); seats default 150 chef-driven Italian; Cameron Mitchell confirmed
Due Amici,Restaurant,"67 East Gay Street, Columbus, OH 43215",https://due-amici.com,,120,,,n/a,n/a,,,0.10,330,1.00,,,Independent,Independent,,,(614) 224-9373,downtown Gay Street near Palace Theatre and Capitol Square; Italian upscale-casual,due-amici.com (address); yelp.com; seats ~120 default; op_days 330 (Mon-Sat)
Bodega,Restaurant,"1044 North High Street, Columbus, OH 43201",https://www.columbusbodega.com,,100,,,n/a,n/a,,,0.10,365,1.00,,,Independent,Independent,,,(614) 299-9399,Short North / Italian Village border; upscale gastropub with late-night bar,shortnorth.org (address); yelp.com; seats ~100; late-night destination; no valet confirmed
The Barn at Rocky Fork Creek,Restaurant,"1370 East Johnstown Road, Gahanna, OH 43230",https://cameronmitchell.com/restaurants/the-barn/,,200,,,n/a,20,,,0.125,365,1.00,,,Cameron Mitchell Restaurants,Cameron Mitchell Restaurants,,,(614) 855-9840,east Columbus / Gahanna submarket; Cameron Mitchell steakhouse with rural ambience; valet anticipated,cameronmitchell.com (address confirmed); seats default 200 steakhouse; valet_rate $20 default
Drury Inn & Suites Columbus Convention Center,Hotel,"88 East Nationwide Boulevard, Columbus, OH 43215",https://www.druryhotels.com,200,,,,n/a,n/a,0.55,,0.30,365,1.05,,,Drury Hotels,Drury Hotels,,,+1 614-221-7008,Arena District adjacent to Nationwide Arena; free parking garage; near Convention Center,tripadvisor / booking.com; rooms ~200 Drury brand standard; complimentary parking; no valet
Red Roof Plus+ Columbus Downtown Convention Center,Hotel,"111 East Nationwide Boulevard, Columbus, OH 43215",https://www.redroof.com,172,,,,n/a,n/a,0.55,,0.30,365,1.00,,,Red Roof Inns,Red Roof,,,+1 614-224-6539,Arena District; limited-service but near convention center; economy tier,tripadvisor (address and reviews); rooms ~172 per brand; no valet
Home2 Suites Columbus Downtown,Hotel,"412 East Main Street, Columbus, OH 43215",https://www.hilton.com/en/hotels/cmhhmhx-home2-suites-columbus-downtown/,115,,,,n/a,n/a,0.55,,0.30,365,1.00,,,Hilton Hotels & Resorts,Hilton,,,+1 614-461-0000,near German Village / downtown; extended-stay select-service,tripadvisor (address); rooms ~115 Home2 brand standard; no valet; kitchenette suites
Embassy Suites Columbus Downtown,Hotel,"200 North High Street, Columbus, OH 43215",https://www.hilton.com/en/hotels/cmhesst-embassy-suites-columbus-downtown/,270,,,,n/a,35,0.60,,0.35,365,1.05,,,Hilton Hotels & Resorts,Hilton,,,+1 614-221-3925,downtown near Convention Center and Short North; all-suite format; atrium bar,experiencecolumbus.com; rooms ~270 Embassy Suites brand standard; valet_rate default upscale
Marker 256 Restaurant Bar,Restaurant,"256 South High Street, Columbus, OH 43215",https://www.marker256.com,,150,,,n/a,n/a,,,0.10,365,1.00,,,Concord Hospitality / Hotel Group,Concord Hospitality,,,(614) 232-0600,downtown Brewery District; upscale bar and restaurant; hotel restaurant concept,experiencecolumbus.com; yelp.com; seats ~150 upscale-casual; no valet confirmed
The Pearl,Restaurant,"641 North High Street, Columbus, OH 43215",https://pearlcolumbus.com,,100,,,n/a,n/a,,,0.10,300,1.00,,,Independent,Independent,,,(614) 636-1000,Short North; upscale bar and food concept near Gallery Hop corridor,yelp.com; opentable.com; seats ~100 default chef-driven; no valet; open Thu-Sat primary
Rigsby's Kitchen,Restaurant,"698 North High Street, Columbus, OH 43215",https://www.rigsbykitchen.com,,120,,,n/a,n/a,,,0.125,330,1.00,,,Independent,Independent,,,(614) 461-7888,Short North; Italian-inspired fine dining institution; chef-driven,experiencecolumbus.com; yelp.com; seats ~120 default; no valet confirmed; Mon-Sat
Basi Italia,Restaurant,"811 Highland Street, Columbus, OH 43215",https://www.basiitalia.com,,80,,,n/a,n/a,,,0.125,280,1.00,,,Independent,Independent,,,(614) 294-7400,Victorian Village adjacent to Short North; chef-driven Italian fine dining; small intimate,yelp.com; opentable.com; seats ~80 small chef-driven; no valet; Tue-Sun
